Site,ER,Year,Day
Alder,-33.36,2015,1
Alder,-33.32,2015,2
Alder,-33.07,2015,3
Alder,-28.85,2015,4
Alder,-26.84,2015,5
Alder,-25.39,2015,6
Alder,-27.38,2015,7
Alder,-27.03,2015,8
Alder,-25.31,2015,9
Alder,-27.7,2015,10
Alder,-26.96,2015,11
Alder,-22.58,2015,12
Alder,-22.81,2015,13
Alder,-20.41,2015,14
Alder,-19.56,2015,15
Alder,-21.9,2015,16
Alder,-25.35,2015,17
Alder,-26.8,2015,18
Alder,-28.31,2015,19
Alder,-30.53,2015,20
Alder,-27.7,2015,21
Alder,-30.96,2015,22
Alder,-25.95,2015,23
Alder,-24.45,2015,24
Alder,-23.72,2015,25
Alder,-25.01,2015,26
Alder,-26.53,2015,27
Alder,-27.97,2015,28
Alder,-20.52,2015,29
Alder,-19.87,2015,30
Alder,-21.05,2015,31
Alder,-24.54,2015,32
Alder,-22.5,2015,33
Alder,-20.59,2015,34
Alder,-17.57,2015,35
Alder,-15.24,2015,36
Alder,-15.27,2015,37
Alder,-15.81,2015,38
Alder,-18.42,2015,39
Alder,-21.75,2015,40
Alder,-21.94,2015,41
Alder,-23.44,2015,42
Alder,-25.89,2015,43
Alder,-26.38,2015,44
Alder,-22.55,2015,45
Alder,-16.34,2015,46
Alder,-11.34,2015,47
Alder,-9.59,2015,48
Alder,-10.01,2015,49
Alder,-11.64,2015,50
Alder,-13.07,2015,51
Alder,-16.17,2015,52
Alder,-16.25,2015,53
Alder,-14.01,2015,54
Alder,-15.1,2015,55
Alder,-15.32,2015,56
Alder,-15.6,2015,57
Alder,-35.51,2016,1
Alder,-30.23,2016,2
Alder,-32.2,2016,3
Alder,-40.22,2016,4
Alder,-38.66,2016,5
Alder,-37.54,2016,6
Alder,-35.4,2016,7
Alder,-33.77,2016,8
Alder,-32.44,2016,9
Alder,-34.08,2016,10
Alder,-37.22,2016,11
Alder,-38.85,2016,12
Alder,-44.23,2016,13
Alder,-43.1,2016,14
Alder,-38.68,2016,15
Alder,-38.36,2016,16
Alder,-35.71,2016,17
Alder,-37.84,2016,18
Alder,-41.31,2016,19
Alder,-43,2016,20
Alder,-38.86,2016,21
Alder,-43.66,2016,22
Alder,-40.67,2016,23
Alder,-39.88,2016,24
Alder,-40.7,2016,25
Alder,-47.59,2016,26
Alder,-45.37,2016,27
Alder,-42.78,2016,28
Alder,-38.95,2016,29
Alder,-42.06,2016,30
Alder,-46.69,2016,31
Alder,-49.56,2016,32
Alder,-45.11,2016,33
Alder,-41.65,2016,34
Alder,-38.13,2016,35
Alder,-36.34,2016,36
Alder,-34.48,2016,37
Alder,-35.12,2016,38
Alder,-37.63,2016,39
Alder,-40.44,2016,40
Alder,-42.39,2016,41
Alder,-46.3,2016,42
Alder,-41.36,2016,43
Alder,-37.26,2016,44
Alder,-35.61,2016,45
Alder,-34.42,2016,46
Alder,-32.93,2016,47
Alder,-34.54,2016,48
Alder,-36.17,2016,49
Alder,-40.86,2016,50
Alder,-40.59,2016,51
Alder,-33.48,2016,52
Alder,-22.35,2016,53
Alder,-19.35,2016,54
Alder,-19.6,2016,55
Alder,-22.67,2016,56
Alder,-25.44,2016,57
Alder,-25.98,2016,58
Alder,-29.29,2016,59
Alder,-25.12,2016,60
Alder,-18.75,2016,61
Alder,-17.8,2019,1
Alder,-16.31,2019,2
Alder,-18.9,2019,3
Alder,-20.45,2019,4
Alder,-18.35,2019,5
Alder,-18.93,2019,6
Alder,-19.37,2019,7
Alder,-19.61,2019,8
Alder,-18.44,2019,9
Alder,-15.56,2019,10
Alder,-14.19,2019,11
Alder,-15.79,2019,12
Alder,-17.97,2019,13
Alder,-19.78,2019,14
Alder,-21.55,2019,15
Alder,-21.02,2019,16
Alder,-23.36,2019,17
Alder,-23.51,2019,18
Alder,-19.06,2019,19
Alder,-16.07,2019,20
Alder,-15.69,2019,21
Alder,-15.21,2019,22
