Site,GPP,Year,Day,ID
Alder,32.7,2015,1,1
Alder,32.1,2015,2,2
Alder,31.8,2015,3,3
Alder,31.7,2015,4,4
Alder,30.4,2015,5,5
Alder,30.4,2015,6,6
Alder,29.8,2015,7,7
Alder,29.2,2015,8,8
Alder,29.1,2015,9,9
Alder,31,2015,10,10
Alder,29,2015,11,11
Alder,26.9,2015,12,12
Alder,26.9,2015,13,13
Alder,27.9,2015,14,14
Alder,27.3,2015,15,15
Alder,27.6,2015,16,16
Alder,28,2015,17,17
Alder,28.2,2015,18,18
Alder,29.4,2015,19,19
Alder,29,2015,20,20
Alder,28.8,2015,21,21
Alder,28.7,2015,22,22
Alder,28.7,2015,23,23
Alder,27.8,2015,24,24
Alder,27.6,2015,25,25
Alder,28.4,2015,26,26
Alder,27.8,2015,27,27
Alder,28.4,2015,28,28
Alder,23.2,2015,29,29
Alder,25.4,2015,30,30
Alder,23.8,2015,31,31
Alder,25.9,2015,32,32
Alder,24,2015,33,33
Alder,25.8,2015,34,34
Alder,24.3,2015,35,35
Alder,21.8,2015,36,36
Alder,22.8,2015,37,37
Alder,22.1,2015,38,38
Alder,22.3,2015,39,39
Alder,22.7,2015,40,40
Alder,23.3,2015,41,41
Alder,24.3,2015,42,42
Alder,23.3,2015,43,43
Alder,22.9,2015,44,44
Alder,22.2,2015,45,45
Alder,21.2,2015,46,46
Alder,19.6,2015,47,47
Alder,18.4,2015,48,48
Alder,16.9,2015,49,49
Alder,16.9,2015,50,50
Alder,17,2015,51,51
Alder,17.5,2015,52,52
Alder,17.7,2015,53,53
Alder,17.8,2015,54,54
Alder,17.7,2015,55,55
Alder,17.8,2015,56,56
Alder,17.7,2015,57,57
Alder,40.3,2016,1,58
Alder,40.8,2016,2,59
Alder,40.5,2016,3,60
Alder,40.9,2016,4,61
Alder,41.1,2016,5,62
Alder,40.7,2016,6,63
Alder,39.9,2016,7,64
Alder,41.8,2016,8,65
Alder,39.9,2016,9,66
Alder,39.7,2016,10,67
Alder,41,2016,11,68
Alder,39.7,2016,12,69
Alder,42.9,2016,13,70
Alder,42.8,2016,14,71
Alder,30.6,2016,15,72
Alder,42.5,2016,16,73
Alder,42.5,2016,17,74
Alder,43.8,2016,18,75
Alder,43.3,2016,19,76
Alder,43.9,2016,20,77
Alder,43.3,2016,21,78
Alder,43.9,2016,22,79
Alder,43.4,2016,23,80
Alder,43.7,2016,24,81
Alder,43.2,2016,25,82
Alder,43.2,2016,26,83
Alder,43.8,2016,27,84
Alder,42.8,2016,28,85
Alder,44.9,2016,29,86
Alder,39.9,2016,30,87
Alder,42.4,2016,31,88
Alder,44.1,2016,32,89
Alder,46.9,2016,33,90
Alder,42.4,2016,34,91
Alder,39.5,2016,35,92
Alder,39.9,2016,36,93
Alder,39.7,2016,37,94
Alder,38,2016,38,95
Alder,39.6,2016,39,96
Alder,39.7,2016,40,97
Alder,39.7,2016,41,98
Alder,39.7,2016,42,99
Alder,38.9,2016,43,100
Alder,38.4,2016,44,101
Alder,39.6,2016,45,102
Alder,36.7,2016,46,103
Alder,35.5,2016,47,104
Alder,36,2016,48,105
Alder,36.1,2016,49,106
Alder,34.3,2016,50,107
Alder,33.6,2016,51,108
Alder,29.1,2016,52,109
Alder,29.5,2016,53,110
Alder,30.6,2016,54,111
Alder,26.2,2016,55,112
Alder,27.3,2016,56,113
Alder,27.6,2016,57,114
Alder,27.7,2016,58,
Alder,27.7,2016,59,
Alder,28.2,2016,60,
Alder,30.1,2016,61,
Alder,14.7,2019,1,115
Alder,15,2019,2,116
Alder,15,2019,3,117
Alder,15.4,2019,4,118
Alder,17,2019,5,119
Alder,15.5,2019,6,120
Alder,15.6,2019,7,121
Alder,15.4,2019,8,122
Alder,18.1,2019,9,123
Alder,17.4,2019,10,124
Alder,16.4,2019,11,125
Alder,16.3,2019,12,126
Alder,17.2,2019,13,127
Alder,17.7,2019,14,128
Alder,17.8,2019,15,129
Alder,17.8,2019,16,130
Alder,17.7,2019,17,131
Alder,17.4,2019,18,132
Alder,16.9,2019,19,133
Alder,17.1,2019,20,134
Alder,18.5,2019,21,135
Alder,16.4,2019,22,136
Alder,16.3,2019,23,137
Alder,16.3,2019,24,138
Alder,16.6,2019,25,139
Alder,17.1,2019,26,140
Alder,17.9,2019,27,141
Alder,19.3,2019,28,142
Alder,18.9,2019,29,143
Alder,19,2019,30,144
Alder,18.9,2019,31,145
Alder,19.1,2019,32,146
Alder,19.1,2019,33,147
Alder,20,2019,34,148
Alder,19.1,2019,35,149
Alder,19.9,2019,36,150
Alder,18.5,2019,37,151
Alder,19.4,2019,38,152
Alder,17.2,2019,39,153
Alder,16.3,2019,40,154
Alder,16.6,2019,41,155
Alder,15.7,2019,42,156
Alder,14.8,2019,43,157
Alder,15.2,2019,44,158
Alder,15,2019,45,159
Alder,14.7,2019,46,160
Alder,14.3,2019,47,161
Alder,12.8,2019,48,162
Alder,11.6,2019,49,163
Alder,13.1,2019,50,164
Alder,12.5,2019,51,165
Alder,12.3,2019,52,166
Alder,11,2019,53,167
Alder,12.2,2019,54,168
Alder,12.4,2019,55,169
Alder,12.3,2019,56,170
Alder,12.2,2019,57,171
Alder,11.8,2019,58,
Alder,9.6,2019,59,
Alder,8.5,2019,60,
Alder,9.7,2019,61,
Pelagic,4.9,2015,1,
Pelagic,4.5,2015,2,
Pelagic,4.4,2015,3,
Pelagic,4,2015,4,
Pelagic,3.5,2015,5,
Pelagic,3.6,2015,6,
Pelagic,3.4,2015,7,
Pelagic,3.4,2015,8,
Pelagic,3.5,2015,9,
Pelagic,3.9,2015,10,
Pelagic,3.8,2015,11,
