Site,NEP,Year,Day,,,,
Alder,-0.57,2015,1,,,,
Alder,-1.20,2015,2,,,,
Alder,-1.19,2015,3,,,,
Alder,2.96,2015,4,,,,
Alder,3.49,2015,5,,,,
Alder,4.98,2015,6,,,,
Alder,2.26,2015,7,,,,
Alder,2.14,2015,8,,,,
Alder,3.69,2015,9,,,,
Alder,3.37,2015,10,,,,
Alder,2.12,2015,11,,,,
Alder,4.35,2015,12,,,,
Alder,4.07,2015,13,,,,
Alder,7.56,2015,14,,,,
Alder,7.77,2015,15,,,,
Alder,5.68,2015,16,,,,
Alder,2.67,2015,17,,,,
Alder,1.40,2015,18,,,,
Alder,1.13,2015,19,,,,
Alder,-1.49,2015,20,,,,
Alder,1.13,2015,21,,,,
Alder,-2.24,2015,22,,,,
Alder,2.69,2015,23,,,,
Alder,3.41,2015,24,,,,
Alder,3.84,2015,25,,,,
Alder,3.42,2015,26,,,,
Alder,1.35,2015,27,,,,
Alder,0.47,2015,28,,,,
Alder,2.64,2015,29,,,,
Alder,5.44,2015,30,,,,
Alder,2.71,2015,31,,,,
Alder,1.39,2015,32,,,,
Alder,1.52,2015,33,,,,
Alder,5.21,2015,34,,,,
Alder,6.69,2015,35,,,,
Alder,6.51,2015,36,,,,
Alder,7.49,2015,37,,,,
Alder,6.31,2015,38,,,,
Alder,3.89,2015,39,,,,
Alder,0.96,2015,40,,,,
Alder,1.40,2015,41,,,,
Alder,0.94,2015,42,,,,
Alder,-2.52,2015,43,,,,
Alder,-3.46,2015,44,,,,
Alder,-0.39,2015,45,,,,
Alder,4.85,2015,46,,,,
Alder,8.18,2015,47,,,,
Alder,8.73,2015,48,,,,
Alder,6.82,2015,49,,,,
Alder,5.25,2015,50,,,,
Alder,3.95,2015,51,,,,
Alder,1.30,2015,52,,,,
Alder,1.42,2015,53,,,,
Alder,3.79,2015,54,,,,
Alder,2.58,2015,55,,,,
Alder,2.51,2015,56,,,,
Alder,2.09,2015,57,,,,
Alder,4.83,2016,1,,,,
Alder,10.52,2016,2,,,,
Alder,8.25,2016,3,,,,
