Samples,Daphnia,Holopedium,Diaptomus,Diacyclops,Bosmina
31-Jul-15,0.45,0.00,0.14,0.32,0.09
8-Aug-15,0.44,0.00,0.18,0.17,0.22
27-Aug-15,0.29,0.00,0.02,0.67,0.02
6-Sep-15,0.64,0.00,0.11,0.13,0.13
24-Sep-15,0.60,0.00,0.07,0.14,0.19
31-Jul-16,0.78,0.01,0.13,0.08,0.00
8-Aug-16,0.84,0.00,0.11,0.04,0.01
27-Aug-16,0.86,0.00,0.11,0.03,0.00
6-Sep-16,0.85,0.01,0.12,0.02,0.01
24-Sep-16,0.78,0.02,0.14,0.04,0.03
31-Jul-19,0.70,0.08,0.12,0.09,0.02
8-Aug-19,0.61,0.20,0.07,0.11,0.01
27-Aug-19,0.73,0.00,0.11,0.16,0.00
6-Sep-19,0.65,0.00,0.13,0.22,0.00
24-Sep-19,0.71,0.00,0.03,0.25,0.00
